Assuming rdf:type as type relation
Loading files... 
  Starting LungCancer.tsv
  Finished LungCancer.tsv, still running: 0
Loaded 32235 facts in 0.74 s using 61 MB
Using HeadCoverage as pruning metric with minimum threshold 0.01
Using recursivity limit 3
Lazy mining assistant that stops counting when the denominator gets too high
No minimum threshold on standard confidence
Filtering on PCA confidence with minimum threshold 0.1
Constants in the arguments of relations are enabled
Lossless (query refinement) heuristics enabled
MRT calls: 0
Starting the mining phase... Using 12 threads
Rule	Head Coverage	Std Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Functional variable
?d  hasFamily  Uncle  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.024154589	0.476190476	0.476190476	30	63	63	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasGender  Male	0.046698873	0.322222222	0.322222222	58	180	180	?a
?d  hasFamily  Cousin_Female  ?a  patientFamily  ?d   => ?a  hasGender  Male	0.015297907	0.703703704	0.703703704	19	27	27	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Bone   => ?a  hasGender  Male	0.037037037	0.340740741	0.340740741	46	135	135	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IIIA	0.011272142	0.106060606	0.106060606	14	132	132	?a
?c  hasAgeCategory  Young  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.091192032	0.137558685	0.137558685	293	2130	2130	?a
?d  hasRelapse_Progression  Relapse  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IIIA	0.010466989	0.173333333	0.173333333	13	75	75	?a
?d  hasRelapse_Progression  No_Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IIIA	0.039452496	0.199186992	0.199186992	49	246	246	?a
?d  hasBiomarker  RET  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.036231884	0.865384615	0.865384615	45	52	52	?a
?d  hasBiomarker  ROS1  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.144927536	0.684410646	0.684410646	180	263	263	?a
?d  hasFamilyGenderDegree  male_third_degree  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.020933977	0.666666667	0.666666667	26	39	39	?a
?d  hasBiomarker  ALK  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.219806763	0.679104478	0.679104478	273	402	402	?a
?d  hasFamilyGenderDegree  male_second_degree  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.049114332	0.530434783	0.530434783	61	115	115	?a
?d  hasFamilyGenderDegree  female_second_degree  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.042673108	0.473214286	0.473214286	53	112	112	?a
?d  hasFamily  Aunt  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.016908213	0.428571429	0.428571429	21	49	49	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.152173913	0.638513514	0.638513514	189	296	296	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Molecular_Targeted_Therapy   => ?a  hasGender  Male	0.057165862	0.522058824	0.522058824	71	136	136	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Thoracoscopy   => ?a  hasGender  Male	0.090982287	0.318309859	0.318309859	113	355	355	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Intravenous_Chemotherapy   => ?a  hasGender  Male	0.112721417	0.28340081	0.28340081	140	494	494	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.115136876	0.638392857	0.638392857	143	224	224	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.115942029	0.730964467	0.730964467	144	197	197	?a
?d  hasFamily  Uncle  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.026570048	0.523809524	0.523809524	33	63	63	?a
?c  hasStage  IA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Radiotherapy_To_Lung	0.048241519	0.180652681	0.180652681	155	858	858	?a
?a  hasAgeCategory  Old  ?a  hasGender  Male   => ?a  hasStage  IIB	0.020933977	0.180555556	0.180555556	26	144	144	?a
?d  hasBiomarker  BRAF  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.077294686	0.774193548	0.774193548	96	124	124	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.230273752	0.669789227	0.669789227	286	427	427	?a
?d  hasFamily  Cousin_Male  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.019323671	0.666666667	0.666666667	24	36	36	?a
?d  hasFamily  Sister  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.078099839	0.62987013	0.62987013	97	154	154	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.147342995	0.64664311	0.64664311	183	283	283	?a
?d  hasRelapse_Progression  Relapse  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Female	0.041867955	0.693333333	0.693333333	52	75	75	?a
?d  hasRelapse_Progression  No_Progression  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Female	0.140096618	0.707317073	0.707317073	174	246	246	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Female	0.033816425	0.318181818	0.318181818	42	132	132	?a
?d  hasBiomarker  EGFR  ?a  patientBiomarker  ?d   => ?a  hasGender  Female	0.251207729	0.643298969	0.643298969	312	485	485	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IIB	0.01610306	0.151515152	0.151515152	20	132	132	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasGender  Female	0.375201288	0.686303387	0.686303387	466	679	679	?a
?d  hasSmokingHabit  NonSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Female	0.281803543	0.712830957	0.712830957	350	491	491	?a
?d  hasSmokingHabit  CurrentSmoker  ?a  patientSmoking  ?d   => ?a  hasGender  Female	0.380837359	0.772875817	0.772875817	473	612	612	?a
?c  hasStage  IIIA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.026455026	0.488505747	0.488505747	85	174	174	?a
?c  hasStage  IV  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.025832555	0.458563536	0.458563536	83	181	181	?a
?c  hasStage  IVA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.011826953	0.275362319	0.275362319	38	138	138	?a
?c  hasStage  IVB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.016184251	0.279569892	0.279569892	52	186	186	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IIB	0.066827697	0.122238586	0.122238586	83	679	679	?a
?c  hasStage  IA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.038281979	0.143356643	0.143356643	123	858	858	?a
?c  hasGender  Male  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.042639278	0.125228519	0.125228519	137	1094	1094	?a
?d  hasFamilyGenderDegree  male_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.013687601	0.147826087	0.147826087	17	115	115	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.035426731	0.127906977	0.127906977	44	344	344	?a
?d  hasFamilyGenderDegree  female_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.01610306	0.178571429	0.178571429	20	112	112	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.022544283	0.125	0.125	28	224	224	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.032206119	0.135135135	0.135135135	40	296	296	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.044283414	0.128805621	0.128805621	55	427	427	?a
?d  hasFamily  Grandmother  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.011272142	0.229508197	0.229508197	14	61	61	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasStage  IIB	0.02173913	0.137055838	0.137055838	27	197	197	?a
?a  hasAgeCategory  Old  ?a  hasGender  Male   => ?a  hasStage  IA1	0.017713366	0.152777778	0.152777778	22	144	144	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Open_Surgical_Procedure   => ?a  hasStage  IIIA	0.023349436	0.127192982	0.127192982	29	228	228	?a
?c  hasAgeCategory  Old  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.033613445	0.100092678	0.100092678	108	1079	1079	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Thoracoscopy   => ?a  hasStage  IIIA	0.061996779	0.216901408	0.216901408	77	355	355	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Bone   => ?a  hasStage  IIB	0.027375201	0.251851852	0.251851852	34	135	135	?a
?c  hasAgeCategory  Young  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.10270775	0.154929577	0.154929577	330	2130	2130	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Molecular_Targeted_Therapy   => ?a  hasStage  IIB	0.018518519	0.169117647	0.169117647	23	136	136	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasStage  IIB	0.026570048	0.183333333	0.183333333	33	180	180	?a
?d  hasSmokingHabit  NonSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IA1	0.048309179	0.122199593	0.122199593	60	491	491	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasStage  IIB	0.069243156	0.303886926	0.303886926	86	283	283	?a
?d  hasSmokingHabit  CurrentSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IA1	0.057165862	0.116013072	0.116013072	71	612	612	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Intravenous_Chemotherapy   => ?a  hasStage  IIB	0.05958132	0.149797571	0.149797571	74	494	494	?a
?d  hasFamily  Grandfather  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.020933977	0.472727273	0.472727273	26	55	55	?a
?d  hasFamily  Grandmother  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.022544283	0.459016393	0.459016393	28	61	61	?a
?d  hasBiomarker  ROS1  ?a  patientBiomarker  ?d   => ?a  hasStage  IIB	0.05394525	0.254752852	0.254752852	67	263	263	?a
?d  hasBiomarker  EGFR  ?a  patientBiomarker  ?d   => ?a  hasStage  IIB	0.062801932	0.160824742	0.160824742	78	485	485	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.030595813	0.128378378	0.128378378	38	296	296	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IA1	0.074074074	0.135493373	0.135493373	92	679	679	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasGender  Female	0.178743961	0.645348837	0.645348837	222	344	344	?a
?d  hasFamily  Sister  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.01610306	0.12987013	0.12987013	20	154	154	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.018518519	0.116751269	0.116751269	23	197	197	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Whole_Brain_Radiation_Therapy   => ?a  hasStage  IIB	0.028180354	0.137795276	0.137795276	35	254	254	?a
?d  hasBiomarker  BRAF  ?a  patientBiomarker  ?d   => ?a  hasStage  IIB	0.02173913	0.217741935	0.217741935	27	124	124	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.043478261	0.1264637	0.1264637	54	427	427	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Neoadjuvant_Chemotherapy   => ?a  hasStage  IA1	0.020128824	0.166666667	0.166666667	25	150	150	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.035426731	0.127906977	0.127906977	44	344	344	?a
?d  hasBiomarker  BRAF  ?a  patientBiomarker  ?d   => ?a  hasStage  IA1	0.011272142	0.112903226	0.112903226	14	124	124	?a
?a  hasAgeCategory  Young  ?a  hasGender  Female   => ?a  hasStage  IA	0.109500805	0.20328849	0.20328849	136	669	669	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Intravenous_Chemotherapy   => ?a  hasStage  IA1	0.056360709	0.141700405	0.141700405	70	494	494	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasStage  IA1	0.024959742	0.109540636	0.109540636	31	283	283	?a
?d  hasRelapse_Progression  No_Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IA	0.053140097	0.268292683	0.268292683	66	246	246	?a
?c  hasGender  Female  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Thoracoscopy	0.093681917	0.142316785	0.142316785	301	2115	2115	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.063607085	0.18501171	0.18501171	79	427	427	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.04589372	0.165697674	0.165697674	57	344	344	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Sequential_Chemoradiation   => ?a  hasStage  IA1	0.023349436	0.491525424	0.491525424	29	59	59	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasStage  IA1	0.017713366	0.122222222	0.122222222	22	180	180	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IA	0.111111111	0.203240059	0.203240059	138	679	679	?a
?d  hasFamilyGenderDegree  female_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.016908213	0.1875	0.1875	21	112	112	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Whole_Brain_Radiation_Therapy   => ?a  hasStage  IA1	0.028985507	0.141732283	0.141732283	36	254	254	?a
?d  hasFamily  Sister  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.023349436	0.188311688	0.188311688	29	154	154	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.033816425	0.21319797	0.21319797	42	197	197	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.028985507	0.160714286	0.160714286	36	224	224	?a
?d  hasBiomarker  BRAF  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.027375201	0.274193548	0.274193548	34	124	124	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.025764895	0.113074205	0.113074205	32	283	283	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasStage  IA1	0.022544283	0.125	0.125	28	224	224	?a
?d  hasBiomarker  ROS1  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.046698873	0.220532319	0.220532319	58	263	263	?a
?a  hasAgeCategory  Old  ?a  hasGender  Male   => ?a  hasStage  IB	0.02979066	0.256944444	0.256944444	37	144	144	?a
?d  hasBiomarker  EGFR  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.079710145	0.204123711	0.204123711	99	485	485	?a
?d  hasBiomarker  ALK  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.066827697	0.206467662	0.206467662	83	402	402	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasStage  IA	0.017713366	0.122222222	0.122222222	22	180	180	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Sequential_Chemoradiation   => ?a  hasStage  IA	0.020128824	0.423728814	0.423728814	25	59	59	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Bone   => ?a  hasStage  IA	0.011272142	0.103703704	0.103703704	14	135	135	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Concurrent_Chemoradiotherapy   => ?a  hasStage  IA	0.047504026	0.430656934	0.430656934	59	137	137	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Molecular_Targeted_Therapy   => ?a  hasStage  IA	0.020933977	0.191176471	0.191176471	26	136	136	?a
?d  hasBiomarker  ALK  ?a  patientBiomarker  ?d   => ?a  hasStage  IIB	0.055555556	0.171641791	0.171641791	69	402	402	?a
?d  hasRelapse_Progression  Relapse  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IA	0.012077295	0.2	0.2	15	75	75	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Concurrent_Chemoradiotherapy   => ?a  hasStage  IA1	0.032206119	0.291970803	0.291970803	40	137	137	?a
?d  hasFamilyGenderDegree  male_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.016908213	0.182608696	0.182608696	21	115	115	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasStage  IA	0.043478261	0.182432432	0.182432432	54	296	296	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Open_Surgical_Procedure   => ?a  hasStage  IA	0.066022544	0.359649123	0.359649123	82	228	228	?a
?d  hasBiomarker  RET  ?a  patientBiomarker  ?d   => ?a  hasStage  IA	0.016908213	0.403846154	0.403846154	21	52	52	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Whole_Brain_Radiation_Therapy   => ?a  hasStage  IA	0.037037037	0.181102362	0.181102362	46	254	254	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Neoadjuvant_Chemotherapy   => ?a  hasStage  IA	0.089371981	0.74	0.74	111	150	150	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasGender  Female	0.098228663	0.677777778	0.677777778	122	180	180	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Bone   => ?a  hasGender  Female	0.071658615	0.659259259	0.659259259	89	135	135	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Chemotherapy_Adjuvant   => ?a  hasStage  IA	0.053140097	0.4	0.4	66	165	165	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Thoracoscopy   => ?a  hasStage  IA	0.070853462	0.247887324	0.247887324	88	355	355	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Lung   => ?a  hasStage  IA	0.117552335	0.371501272	0.371501272	146	393	393	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Open_Surgical_Procedure   => ?a  hasGender  Female	0.137681159	0.75	0.75	171	228	228	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Intravenous_Chemotherapy   => ?a  hasStage  IA	0.046698873	0.117408907	0.117408907	58	494	494	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Neoadjuvant_Chemotherapy   => ?a  hasGender  Female	0.085346216	0.706666667	0.706666667	106	150	150	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Lung   => ?a  hasStage  IA1	0.074074074	0.234096692	0.234096692	92	393	393	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Sequential_Chemoradiation   => ?a  hasGender  Female	0.032206119	0.677966102	0.677966102	40	59	59	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Molecular_Targeted_Therapy   => ?a  hasGender  Female	0.052334944	0.477941176	0.477941176	65	136	136	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Chemotherapy_Adjuvant   => ?a  hasGender  Female	0.090177134	0.678787879	0.678787879	112	165	165	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IB	0.02979066	0.28030303	0.28030303	37	132	132	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Whole_Brain_Radiation_Therapy   => ?a  hasGender  Female	0.120772947	0.590551181	0.590551181	150	254	254	?a
?d  hasSmokingHabit  FormerSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IA	0.01610306	0.151515152	0.151515152	20	132	132	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Concurrent_Chemoradiotherapy   => ?a  hasGender  Female	0.074879227	0.678832117	0.678832117	93	137	137	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Thoracoscopy   => ?a  hasGender  Female	0.194847021	0.681690141	0.681690141	242	355	355	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Intravenous_Chemotherapy   => ?a  hasGender  Female	0.285024155	0.71659919	0.71659919	354	494	494	?a
?d  hasFamilyGenderDegree  female_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.020933977	0.232142857	0.232142857	26	112	112	?a
?d  hasFamily  Aunt  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.012882448	0.326530612	0.326530612	16	49	49	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Lung   => ?a  hasGender  Female	0.214975845	0.679389313	0.679389313	267	393	393	?a
?d  hasSmokingHabit  NonSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IB	0.087761675	0.221995927	0.221995927	109	491	491	?a
?d  hasFamily  Father  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.064412238	0.27027027	0.27027027	80	296	296	?a
?d  hasSmokingHabit  CurrentSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IB	0.109500805	0.222222222	0.222222222	136	612	612	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Oral_Chemotherapy   => ?a  hasGender  Female	0.011272142	0.7	0.7	14	20	20	?a
?d  hasFamily  Sister  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.027375201	0.220779221	0.220779221	34	154	154	?a
?d  hasSmokingHabit  NonSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IA	0.081320451	0.205702648	0.205702648	101	491	491	?a
?d  hasFamily  Mother  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.050724638	0.28125	0.28125	63	224	224	?a
?d  hasFamily  Brother  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.031400966	0.197969543	0.197969543	39	197	197	?a
?d  hasFamily  Uncle  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.013687601	0.26984127	0.26984127	17	63	63	?a
?d  hasSmokingHabit  CurrentSmoker  ?a  patientSmoking  ?d   => ?a  hasStage  IA	0.095813205	0.194444444	0.194444444	119	612	612	?a
?c  hasStage  IV  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.029	0.426470588	0.426470588	29	68	68	?a
?d  hasFamilyGenderDegree  male_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.084541063	0.245901639	0.245901639	105	427	427	?a
?c  hasStage  IVA  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.019	0.527777778	0.527777778	19	36	36	?a
?d  hasFamilyGenderDegree  male_second_degree  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.02173913	0.234782609	0.234782609	27	115	115	?a
?c  hasStage  IVB  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.024	0.461538462	0.461538462	24	52	52	?a
?d  hasFamilyGenderDegree  female_first_degree  ?a  patientFamily  ?d   => ?a  hasStage  IB	0.071658615	0.25872093	0.25872093	89	344	344	?a
?c  hasStage  IA  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.066	0.301369863	0.301369863	66	219	219	?a
?c  hasStage  IB  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.031	0.129707113	0.129707113	31	239	239	?a
?c  hasAgeCategory  Old  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.055	0.195035461	0.195035461	55	282	282	?a
?c  hasGender  Male  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.072	0.233766234	0.233766234	72	308	308	?a
?c  hasGender  Female  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.174	0.251445087	0.251445087	174	692	692	?a
?c  hasStage  IIA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Intravenous_Chemotherapy	0.021164021	0.35978836	0.35978836	68	189	189	?a
?c  hasStage  IA1  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Intravenous_Chemotherapy	0.029256147	0.219626168	0.219626168	94	428	428	?a
?d  hasRelapse_Progression  Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IB	0.165056361	0.30191458	0.30191458	205	679	679	?a
?c  hasStage  IIB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Intravenous_Chemotherapy	0.032679739	0.364583333	0.364583333	105	288	288	?a
?c  hasAgeCategory  Young  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.191	0.266387727	0.266387727	191	717	717	?a
?a  hasGender  Male  ?a  hasStage  IA1   => ?a  hasAgeCategory  Old	0.017727639	0.536585366	0.536585366	22	41	41	?a
?c  hasStage  IB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Intravenous_Chemotherapy	0.075007781	0.366261398	0.366261398	241	658	658	?a
?d  hasRelapse_Progression  No_Progression  ?a  patientRelapseProgression  ?d   => ?a  hasStage  IB	0.024959742	0.12601626	0.12601626	31	246	246	?a
?c  hasStage  IIIA  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.049	0.590361446	0.590361446	49	83	83	?a
?c  hasStage  IA1  ?c  patientRelapseProgression  ?a   => ?a  hasRelapse_Progression  No_Progression	0.017	0.147826087	0.147826087	17	115	115	?a
?c  hasGender  Male  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Intravenous_Chemotherapy	0.065981948	0.193784278	0.193784278	212	1094	1094	?a
?a  hasGender  Male  ?a  hasStage  IIB   => ?a  hasAgeCategory  Old	0.020950846	0.565217391	0.565217391	26	46	46	?a
?a  hasGender  Male  ?a  hasStage  IIIA   => ?a  hasAgeCategory  Old	0.010475423	0.393939394	0.393939394	13	33	33	?a
?c  hasStage  IA  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Neoadjuvant_Chemotherapy	0.035169623	0.131701632	0.131701632	113	858	858	?a
?a  hasGender  Male  ?a  hasStage  IB   => ?a  hasAgeCategory  Old	0.029814666	0.411111111	0.411111111	37	90	90	?a
?d  hasBiomarker  ALK  ?a  patientBiomarker  ?d   => ?a  hasStage  IB	0.09178744	0.28358209	0.28358209	114	402	402	?a
?d  hasBiomarker  PDL1  ?a  patientBiomarker  ?d   => ?a  hasStage  IB	0.038647343	0.169611307	0.169611307	48	283	283	?a
?c  hasStage  IIB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Molecular_Targeted_Therapy	0.011515717	0.128472222	0.128472222	37	288	288	?a
?d  hasBiomarker  EGFR  ?a  patientBiomarker  ?d   => ?a  hasStage  IB	0.125603865	0.321649485	0.321649485	156	485	485	?a
?c  hasStage  IB  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Molecular_Targeted_Therapy	0.032368503	0.158054711	0.158054711	104	658	658	?a
?c  hasGender  Male  ?c  patientTreatmentType  ?a   => ?a  treatmentType  Molecular_Targeted_Therapy	0.039838157	0.117001828	0.117001828	128	1094	1094	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Immunotherapy   => ?a  hasStage  IB	0.036231884	0.25	0.25	45	180	180	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Radiotherapy_To_Bone   => ?a  hasStage  IB	0.03784219	0.348148148	0.348148148	47	135	135	?a
?a  patientTreatmentType  ?d  ?d  treatmentType  Molecular_Targeted_Therapy   => ?a  hasStage  IB	0.04589372	0.419117647	0.419117647	57	136	136	?a
